Num of Layer Detected : 119 
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  Num|TIDL Layer Name               |Out Data Name                                     |Group |#Ins  |#Outs |Inbuf Ids                       |Outbuf Id |In NCHW                             |Out NCHW                            |MACS       |
   12|TIDL_ConvolutionLayer         |186                                               |     0|     1|     1| 11   x   x   x   x   x   x   x | 12       |       1       64      112      112 |       1      128       56       56 | 231211008 |
   13|TIDL_ConvolutionLayer         |205                                               |     0|     1|     1| 12   x   x   x   x   x   x   x | 13       |       1      128       56       56 |       1       64       56       56 |  25690112 |
   14|TIDL_ConvolutionLayer         |188                                               |     0|     1|     1| 12   x   x   x   x   x   x   x | 14       |       1      128       56       56 |       1       64       56       56 |  25690112 |
   15|TIDL_ConvolutionLayer         |190                                               |     0|     1|     1| 14   x   x   x   x   x   x   x | 15       |       1       64       56       56 |       1       64       56       56 |  12845056 |
   16|TIDL_ConvolutionLayer         |192                                               |     0|     1|     1| 15   x   x   x   x   x   x   x | 16       |       1       64       56       56 |       1       64       56       56 | 115605504 |
   17|TIDL_EltWiseLayer             |193                                               |     0|     2|     1| 14  16   x   x   x   x   x   x | 17       |       1       64       56       56 |       1       64       56       56 |    200704 |
   18|TIDL_ConvolutionLayer         |195                                               |     0|     1|     1| 17   x   x   x   x   x   x   x | 18       |       1       64       56       56 |       1       64       56       56 |  12845056 |
   19|TIDL_ConvolutionLayer         |197                                               |     0|     1|     1| 18   x   x   x   x   x   x   x | 19       |       1       64       56       56 |       1       64       56       56 | 115605504 |
   20|TIDL_EltWiseLayer             |198                                               |     0|     2|     1| 17  19   x   x   x   x   x   x | 20       |       1       64       56       56 |       1       64       56       56 |    200704 |
   21|TIDL_ConvolutionLayer         |200                                               |     0|     1|     1| 20   x   x   x   x   x   x   x | 21       |       1       64       56       56 |       1       64       56       56 |  12845056 |
   22|TIDL_ConvolutionLayer         |202                                               |     0|     1|     1| 21   x   x   x   x   x   x   x | 22       |       1       64       56       56 |       1       64       56       56 | 115605504 |
   23|TIDL_EltWiseLayer             |203                                               |     0|     2|     1| 20  22   x   x   x   x   x   x | 23       |       1       64       56       56 |       1       64       56       56 |    200704 |
   24|TIDL_ConcatLayer              |206                                               |     0|     2|     1| 23  13   x   x   x   x   x   x | 24       |       1       64       56       56 |       1      128       56       56 |    401408 |
   25|TIDL_ConvolutionLayer         |208                                               |     0|     1|     1| 24   x   x   x   x   x   x   x | 25       |       1      128       56       56 |       1      128       56       56 |  51380224 |
   26|TIDL_ConvolutionLayer         |210                                               |     0|     1|     1| 25   x   x   x   x   x   x   x | 26       |       1      128       56       56 |       1      256       28       28 | 231211008 |
   27|TIDL_ConvolutionLayer         |229                                               |     0|     1|     1| 26   x   x   x   x   x   x   x | 27       |       1      256       28       28 |       1      128       28       28 |  25690112 |
   28|TIDL_ConvolutionLayer         |212                                               |     0|     1|     1| 26   x   x   x   x   x   x   x | 28       |       1      256       28       28 |       1      128       28       28 |  25690112 |
   29|TIDL_ConvolutionLayer         |214                                               |     0|     1|     1| 28   x   x   x   x   x   x   x | 29       |       1      128       28       28 |       1      128       28       28 |  12845056 |
   30|TIDL_ConvolutionLayer         |216                                               |     0|     1|     1| 29   x   x   x   x   x   x   x | 30       |       1      128       28       28 |       1      128       28       28 | 115605504 |
   31|TIDL_EltWiseLayer             |217                                               |     0|     2|     1| 28  30   x   x   x   x   x   x | 31       |       1      128       28       28 |       1      128       28       28 |    100352 |
   32|TIDL_ConvolutionLayer         |219                                               |     0|     1|     1| 31   x   x   x   x   x   x   x | 32       |       1      128       28       28 |       1      128       28       28 |  12845056 |
   33|TIDL_ConvolutionLayer         |221                                               |     0|     1|     1| 32   x   x   x   x   x   x   x | 33       |       1      128       28       28 |       1      128       28       28 | 115605504 |
   34|TIDL_EltWiseLayer             |222                                               |     0|     2|     1| 31  33   x   x   x   x   x   x | 34       |       1      128       28       28 |       1      128       28       28 |    100352 |
   35|TIDL_ConvolutionLayer         |224                                               |     0|     1|     1| 34   x   x   x   x   x   x   x | 35       |       1      128       28       28 |       1      128       28       28 |  12845056 |
   36|TIDL_ConvolutionLayer         |226                                               |     0|     1|     1| 35   x   x   x   x   x   x   x | 36       |       1      128       28       28 |       1      128       28       28 | 115605504 |
   37|TIDL_EltWiseLayer             |227                                               |     0|     2|     1| 34  36   x   x   x   x   x   x | 37       |       1      128       28       28 |       1      128       28       28 |    100352 |
   38|TIDL_ConcatLayer              |230                                               |     0|     2|     1| 37  27   x   x   x   x   x   x | 38       |       1      128       28       28 |       1      256       28       28 |    200704 |
   39|TIDL_ConvolutionLayer         |232                                               |     0|     1|     1| 38   x   x   x   x   x   x   x | 39       |       1      256       28       28 |       1      256       28       28 |  51380224 |
   40|TIDL_ConvolutionLayer         |234                                               |     0|     1|     1| 39   x   x   x   x   x   x   x | 40       |       1      256       28       28 |       1      384       14       14 | 173408256 |
   41|TIDL_ConvolutionLayer         |243                                               |     0|     1|     1| 40   x   x   x   x   x   x   x | 41       |       1      384       14       14 |       1      192       14       14 |  14450688 |
   42|TIDL_ConvolutionLayer         |236                                               |     0|     1|     1| 40   x   x   x   x   x   x   x | 42       |       1      384       14       14 |       1      192       14       14 |  14450688 |
   43|TIDL_ConvolutionLayer         |238                                               |     0|     1|     1| 42   x   x   x   x   x   x   x | 43       |       1      192       14       14 |       1      192       14       14 |   7225344 |
   44|TIDL_ConvolutionLayer         |240                                               |     0|     1|     1| 43   x   x   x   x   x   x   x | 44       |       1      192       14       14 |       1      192       14       14 |  65028096 |
   45|TIDL_EltWiseLayer             |241                                               |     0|     2|     1| 42  44   x   x   x   x   x   x | 45       |       1      192       14       14 |       1      192       14       14 |     37632 |
   46|TIDL_ConcatLayer              |244                                               |     0|     2|     1| 45  41   x   x   x   x   x   x | 46       |       1      192       14       14 |       1      384       14       14 |     75264 |
   47|TIDL_ConvolutionLayer         |246                                               |     0|     1|     1| 46   x   x   x   x   x   x   x | 47       |       1      384       14       14 |       1      384       14       14 |  28901376 |
   48|TIDL_ConvolutionLayer         |248                                               |     0|     1|     1| 47   x   x   x   x   x   x   x | 48       |       1      384       14       14 |       1      512        7        7 |  86704128 |
   49|TIDL_ConvolutionLayer         |250                                               |     0|     1|     1| 48   x   x   x   x   x   x   x | 49       |       1      512        7        7 |       1      256        7        7 |   6422528 |
   50|TIDL_PoolingLayer             |251                                               |     0|     1|     1| 49   x   x   x   x   x   x   x | 50       |       1      256        7        7 |       1      256        7        7 |    112896 |
   51|TIDL_PoolingLayer             |253                                               |     0|     1|     1| 50   x   x   x   x   x   x   x | 51       |       1      256        7        7 |       1      256        7        7 |    112896 |
   52|TIDL_PoolingLayer             |256                                               |     0|     1|     1| 51   x   x   x   x   x   x   x | 52       |       1      256        7        7 |       1      256        7        7 |    112896 |
   53|TIDL_ConcatLayer              |257                                               |     0|     4|     1| 49  50  51  52   x   x   x   x | 53       |       1      256        7        7 |       1     1024        7        7 |     50176 |
   54|TIDL_ConvolutionLayer         |259                                               |     0|     1|     1| 53   x   x   x   x   x   x   x | 54       |       1     1024        7        7 |       1      512        7        7 |  25690112 |
   55|TIDL_ConvolutionLayer         |267                                               |     0|     1|     1| 54   x   x   x   x   x   x   x | 55       |       1      512        7        7 |       1      256        7        7 |   6422528 |
   56|TIDL_ConvolutionLayer         |261                                               |     0|     1|     1| 54   x   x   x   x   x   x   x | 56       |       1      512        7        7 |       1      256        7        7 |   6422528 |
   57|TIDL_ConvolutionLayer         |263                                               |     0|     1|     1| 56   x   x   x   x   x   x   x | 57       |       1      256        7        7 |       1      256        7        7 |   3211264 |
   58|TIDL_ConvolutionLayer         |265                                               |     0|     1|     1| 57   x   x   x   x   x   x   x | 58       |       1      256        7        7 |       1      256        7        7 |  28901376 |
   59|TIDL_ConcatLayer              |268                                               |     0|     2|     1| 58  55   x   x   x   x   x   x | 59       |       1      256        7        7 |       1      512        7        7 |     25088 |
   60|TIDL_ConvolutionLayer         |270                                               |     0|     1|     1| 59   x   x   x   x   x   x   x | 60       |       1      512        7        7 |       1      512        7        7 |  12845056 |
   61|TIDL_ConvolutionLayer         |272                                               |     0|     1|     1| 60   x   x   x   x   x   x   x | 61       |       1      512        7        7 |       1      384        7        7 |   9633792 |
   62|TIDL_ResizeLayer              |277                                               |     0|     1|     1| 61   x   x   x   x   x   x   x | 62       |       1      384        7        7 |       1      384       14       14 |    301056 |
   63|TIDL_ConcatLayer              |278                                               |     0|     2|     1| 62  47   x   x   x   x   x   x | 63       |       1      384       14       14 |       1      768       14       14 |    150528 |
   64|TIDL_ConvolutionLayer         |286                                               |     0|     1|     1| 63   x   x   x   x   x   x   x | 64       |       1      768       14       14 |       1      192       14       14 |  28901376 |
   65|TIDL_ConvolutionLayer         |280                                               |     0|     1|     1| 63   x   x   x   x   x   x   x | 65       |       1      768       14       14 |       1      192       14       14 |  28901376 |
   66|TIDL_ConvolutionLayer         |282                                               |     0|     1|     1| 65   x   x   x   x   x   x   x | 66       |       1      192       14       14 |       1      192       14       14 |   7225344 |
   67|TIDL_ConvolutionLayer         |284                                               |     0|     1|     1| 66   x   x   x   x   x   x   x | 67       |       1      192       14       14 |       1      192       14       14 |  65028096 |
   68|TIDL_ConcatLayer              |287                                               |     0|     2|     1| 67  64   x   x   x   x   x   x | 68       |       1      192       14       14 |       1      384       14       14 |     75264 |
   69|TIDL_ConvolutionLayer         |289                                               |     0|     1|     1| 68   x   x   x   x   x   x   x | 69       |       1      384       14       14 |       1      384       14       14 |  28901376 |
   70|TIDL_ConvolutionLayer         |291                                               |     0|     1|     1| 69   x   x   x   x   x   x   x | 70       |       1      384       14       14 |       1      256       14       14 |  19267584 |
   71|TIDL_ResizeLayer              |296                                               |     0|     1|     1| 70   x   x   x   x   x   x   x | 71       |       1      256       14       14 |       1      256       28       28 |    802816 |
   72|TIDL_ConcatLayer              |297                                               |     0|     2|     1| 71  39   x   x   x   x   x   x | 72       |       1      256       28       28 |       1      512       28       28 |    401408 |
   73|TIDL_ConvolutionLayer         |305                                               |     0|     1|     1| 72   x   x   x   x   x   x   x | 73       |       1      512       28       28 |       1      128       28       28 |  51380224 |
   74|TIDL_ConvolutionLayer         |299                                               |     0|     1|     1| 72   x   x   x   x   x   x   x | 74       |       1      512       28       28 |       1      128       28       28 |  51380224 |
   75|TIDL_ConvolutionLayer         |301                                               |     0|     1|     1| 74   x   x   x   x   x   x   x | 75       |       1      128       28       28 |       1      128       28       28 |  12845056 |
   76|TIDL_ConvolutionLayer         |303                                               |     0|     1|     1| 75   x   x   x   x   x   x   x | 76       |       1      128       28       28 |       1      128       28       28 | 115605504 |
   77|TIDL_ConcatLayer              |306                                               |     0|     2|     1| 76  73   x   x   x   x   x   x | 77       |       1      128       28       28 |       1      256       28       28 |    200704 |
   78|TIDL_ConvolutionLayer         |308                                               |     0|     1|     1| 77   x   x   x   x   x   x   x | 78       |       1      256       28       28 |       1      256       28       28 |  51380224 |
   79|TIDL_ConvolutionLayer         |310                                               |     0|     1|     1| 78   x   x   x   x   x   x   x | 79       |       1      256       28       28 |       1      128       28       28 |  25690112 |
   80|TIDL_ResizeLayer              |315                                               |     0|     1|     1| 79   x   x   x   x   x   x   x | 80       |       1      128       28       28 |       1      128       56       56 |   1605632 |
   81|TIDL_ConcatLayer              |316                                               |     0|     2|     1| 80  25   x   x   x   x   x   x | 81       |       1      128       56       56 |       1      256       56       56 |    802816 |
   82|TIDL_ConvolutionLayer         |324                                               |     0|     1|     1| 81   x   x   x   x   x   x   x | 82       |       1      256       56       56 |       1       64       56       56 |  51380224 |
   83|TIDL_ConvolutionLayer         |318                                               |     0|     1|     1| 81   x   x   x   x   x   x   x | 83       |       1      256       56       56 |       1       64       56       56 |  51380224 |
   84|TIDL_ConvolutionLayer         |320                                               |     0|     1|     1| 83   x   x   x   x   x   x   x | 84       |       1       64       56       56 |       1       64       56       56 |  12845056 |
   85|TIDL_ConvolutionLayer         |322                                               |     0|     1|     1| 84   x   x   x   x   x   x   x | 85       |       1       64       56       56 |       1       64       56       56 | 115605504 |
   86|TIDL_ConcatLayer              |325                                               |     0|     2|     1| 85  82   x   x   x   x   x   x | 86       |       1       64       56       56 |       1      128       56       56 |    401408 |
   87|TIDL_ConvolutionLayer         |327                                               |     0|     1|     1| 86   x   x   x   x   x   x   x | 87       |       1      128       56       56 |       1      128       56       56 |  51380224 |
   88|TIDL_ConvolutionLayer         |329                                               |     0|     1|     1| 87   x   x   x   x   x   x   x | 88       |       1      128       56       56 |       1      128       28       28 | 115605504 |
   89|TIDL_ConcatLayer              |330                                               |     0|     2|     1| 88  79   x   x   x   x   x   x | 89       |       1      128       28       28 |       1      256       28       28 |    200704 |
   90|TIDL_ConvolutionLayer         |338                                               |     0|     1|     1| 89   x   x   x   x   x   x   x | 90       |       1      256       28       28 |       1      128       28       28 |  25690112 |
   91|TIDL_ConvolutionLayer         |332                                               |     0|     1|     1| 89   x   x   x   x   x   x   x | 91       |       1      256       28       28 |       1      128       28       28 |  25690112 |
   92|TIDL_ConvolutionLayer         |334                                               |     0|     1|     1| 91   x   x   x   x   x   x   x | 92       |       1      128       28       28 |       1      128       28       28 |  12845056 |
   93|TIDL_ConvolutionLayer         |336                                               |     0|     1|     1| 92   x   x   x   x   x   x   x | 93       |       1      128       28       28 |       1      128       28       28 | 115605504 |
   94|TIDL_ConcatLayer              |339                                               |     0|     2|     1| 93  90   x   x   x   x   x   x | 94       |       1      128       28       28 |       1      256       28       28 |    200704 |
   95|TIDL_ConvolutionLayer         |341                                               |     0|     1|     1| 94   x   x   x   x   x   x   x | 95       |       1      256       28       28 |       1      256       28       28 |  51380224 |
   96|TIDL_ConvolutionLayer         |343                                               |     0|     1|     1| 95   x   x   x   x   x   x   x | 96       |       1      256       28       28 |       1      256       14       14 | 115605504 |
   97|TIDL_ConcatLayer              |344                                               |     0|     2|     1| 96  70   x   x   x   x   x   x | 97       |       1      256       14       14 |       1      512       14       14 |    100352 |
   98|TIDL_ConvolutionLayer         |352                                               |     0|     1|     1| 97   x   x   x   x   x   x   x | 98       |       1      512       14       14 |       1      192       14       14 |  19267584 |
   99|TIDL_ConvolutionLayer         |346                                               |     0|     1|     1| 97   x   x   x   x   x   x   x | 99       |       1      512       14       14 |       1      192       14       14 |  19267584 |
  100|TIDL_ConvolutionLayer         |348                                               |     0|     1|     1| 99   x   x   x   x   x   x   x |100       |       1      192       14       14 |       1      192       14       14 |   7225344 |
  101|TIDL_ConvolutionLayer         |350                                               |     0|     1|     1|100   x   x   x   x   x   x   x |101       |       1      192       14       14 |       1      192       14       14 |  65028096 |
  102|TIDL_ConcatLayer              |353                                               |     0|     2|     1|101  98   x   x   x   x   x   x |102       |       1      192       14       14 |       1      384       14       14 |     75264 |
  103|TIDL_ConvolutionLayer         |355                                               |     0|     1|     1|102   x   x   x   x   x   x   x |103       |       1      384       14       14 |       1      384       14       14 |  28901376 |
  104|TIDL_ConvolutionLayer         |357                                               |     0|     1|     1|103   x   x   x   x   x   x   x |104       |       1      384       14       14 |       1      384        7        7 |  65028096 |
  105|TIDL_ConcatLayer              |358                                               |     0|     2|     1|104  61   x   x   x   x   x   x |105       |       1      384        7        7 |       1      768        7        7 |     37632 |
  106|TIDL_ConvolutionLayer         |366                                               |     0|     1|     1|105   x   x   x   x   x   x   x |106       |       1      768        7        7 |       1      256        7        7 |   9633792 |
  107|TIDL_ConvolutionLayer         |360                                               |     0|     1|     1|105   x   x   x   x   x   x   x |107       |       1      768        7        7 |       1      256        7        7 |   9633792 |
  108|TIDL_ConvolutionLayer         |362                                               |     0|     1|     1|107   x   x   x   x   x   x   x |108       |       1      256        7        7 |       1      256        7        7 |   3211264 |
  109|TIDL_ConvolutionLayer         |364                                               |     0|     1|     1|108   x   x   x   x   x   x   x |109       |       1      256        7        7 |       1      256        7        7 |  28901376 |
  110|TIDL_ConcatLayer              |367                                               |     0|     2|     1|109 106   x   x   x   x   x   x |110       |       1      256        7        7 |       1      512        7        7 |     25088 |
  111|TIDL_ConvolutionLayer         |369                                               |     0|     1|     1|110   x   x   x   x   x   x   x |111       |       1      512        7        7 |       1      512        7        7 |  12845056 |
  112|TIDL_ConvolutionLayer         |556                                               |     0|     1|     1|111   x   x   x   x   x   x   x |112       |       1      512        7        7 |       1       18        7        7 |    451584 |
  113|TIDL_ConvolutionLayer         |494                                               |     0|     1|     1|103   x   x   x   x   x   x   x |113       |       1      384       14       14 |       1       18       14       14 |   1354752 |
  114|TIDL_ConvolutionLayer         |432                                               |     0|     1|     1| 95   x   x   x   x   x   x   x |114       |       1      256       28       28 |       1       18       28       28 |   3612672 |
  115|TIDL_ConvolutionLayer         |370                                               |     0|     1|     1| 87   x   x   x   x   x   x   x |115       |       1      128       56       56 |       1       18       56       56 |   7225344 |
  116|TIDL_DetectionOutputLayer     |detections_det                                    |     0|     4|     1|115 114 113 112   x   x   x   x |116       |       1       18       56       56 |       1        1        1     2105 |         0 |
  117|TIDL_OdOutputReformatLayer    |detections                                        |     0|     1|     1|116   x   x   x   x   x   x   x |117       |       1        1        1     2105 |       1        1      300        6 |         0 |
  118|TIDL_DataLayer                |detections                                        |     0|     1|    -1|117   x   x   x   x   x   x   x |  0       |       1        1      300        6 |       0        0        0        0 |         0 |
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Total Giga Macs : 4.1028
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
