img_name,actual,predicted,predicted_accuracy,postprocess,postprocess_accuracy
test/2522_2.png,DENE,LWE,0.25,,
test/971_11.png,Tu,TU,1.0,,
test/860_1.png,ADAMS,AD4NZS,0.5,,
test/5050_3.png,DeL,DEL,1.0,,
test/683_5.png,INFORMED,INRGRMED,0.75,,
test/208_3.png,Of,OF,1.0,,
test/923_2.png,ROSS,ROSS,1.0,,
test/367_17.png,stores,STORES,1.0,,
test/1023_7.png,JOURNEY,JOURNEY,1.0,,
test/541_1.png,STATE,STATE,1.0,,
test/370_2.png,HOT,HOTG,0.75,,
test/325_12.png,week,WEEK,1.0,,
test/1046_3.png,FUND,FUND,1.0,,
test/638_1.png,Nikon,AIKON,0.8,,
test/5086_5.png,MODERATE,IO0FRAT,0.5,,
test/5183_5.png,Tango,TANG,0.8,,
test/108_3.png,of,OF,1.0,,
test/5007_4.png,STOP,STOOP,0.8,,
test/600_5.png,Get,GET,1.0,,
test/34_4.png,either,EITHER,1.0,,
test/985_2.png,coming,COMING,1.0,,
test/2055_22.png,you,YOU,1.0,,
test/2503_1.png,TWENTY,TWENTY,1.0,,
test/2597_5.png,OAST,OAST,1.0,,
test/5053_4.png,the,THE,1.0,,
test/360_7.png,switching,STWACCHLNG,0.6,,
test/2577_1.png,ATLANTIC,ALLANIIC,0.75,,
test/2621_6.png,58,58,1.0,,
test/5076_3.png,KNIGHT,KNIGHT,1.0,,
test/5094_2.png,AJITH,HRTH,0.4,,
test/2017_10.png,Ltd,LTD,1.0,,
test/2624_22.png,Hale,HALE,1.0,,
test/813_3.png,ATM,ALM,0.67,,
test/5044_4.png,MCDORMAND,MRILRNNIAN,0.3,,
test/5044_8.png,SWINTON,SNINION,0.71,,
test/2078_2.png,Key,KEY,1.0,,
test/149_1.png,Theres,THONGE,0.33,,
test/2624_5.png,Villas,VIILAS,0.83,,
test/386_1.png,CURSED,CURSED,1.0,,
test/149_7.png,SUMMER,SUEAAEA,0.43,,
test/965_1.png,SAMSUNG,SNMSUNG,0.86,,
test/187_1.png,SBI,Y8I,0.33,,
test/5147_4.png,IN,IN,1.0,,
test/756_12.png,fast,FOST,0.75,,
test/796_2.png,you,YOU,1.0,,
test/5197_1.png,SIMON,STMKN,0.6,,
test/5095_2.png,DARK,DARK,1.0,,
test/5114_1.png,JONES,NE,0.4,,
test/5002_4.png,17,1,0.5,,
test/5022_2.png,BUTLER,BBTLEBE,0.57,,
test/5085_10.png,Ophuls,OPHTIS,0.67,,
test/5080_20.png,THE,THE,1.0,,
test/839_3.png,a,A,1.0,,
test/682_5.png,obtainable,OBTAINABLE,1.0,,
test/2220_8.png,AIRCEL,APCSL,0.5,,
test/549_2.png,ashton,SITOI,0.5,,
test/169_4.png,OF,I,0.0,,
test/5022_3.png,GAMER,IA1AER,0.5,,
test/2530_6.png,Warren,WARRN,0.83,,
test/920_3.png,CAN,CAN,1.0,,
test/6_10.png,CHANDIGARH,CHANDTGARRT,0.73,,
test/435_2.png,GOODWILL,GOODWILL,1.0,,
test/1092_2.png,Jazz,JASJ,0.5,,
test/5056_1.png,VANTAGE,MANTAGE,0.86,,
test/522_2.png,Bank,BANK,1.0,,
test/2110_1.png,Step,STEP,1.0,,
test/395_4.png,Today,TG,0.2,,
test/2540_4.png,4,4,1.0,,
test/2063_1.png,JALI,IALI,0.75,,
test/2444_1.png,TWIN,G,0.0,,
test/2027_1.png,PARADISO,PARADISO,1.0,,
test/632_3.png,Indonesia,INCONES7A,0.78,,
test/831_2.png,BANK,BRNR,0.5,,
test/406_3.png,GrassRootsMarketing,S,0.05,,
test/922_4.png,Rd,RD,1.0,,
test/289_1.png,alibaba,AIOABA,0.71,,
test/5133_6.png,boy,BOY,1.0,,
test/715_5.png,this,CHIS,0.75,,
test/138_9.png,On,0N,0.5,,
test/121_1.png,18,18,1.0,,
test/138_2.png,Time,TIME,1.0,,
test/2201_12.png,Cottage,ONTTAGC,0.57,,
test/2017_3.png,EVEREST,ETEREST,0.86,,
test/2332_1.png,IVY,TVY,0.67,,
test/994_7.png,DRAGSTER,DRADSTER,0.88,,
test/5165_11.png,PENA,PENA,1.0,,
test/333_1.png,SKATEBOARDERS,SKATESOARDERS,0.92,,
test/2299_3.png,Road,KOAD,0.75,,
test/219_4.png,Inner,INNER,1.0,,
test/328_10.png,Impact,LNPACT,0.67,,
test/2028_1.png,77,77,1.0,,
test/813_2.png,HOURS,RIEIRS,0.33,,
test/5220_1.png,DISTRICT,MISTRICT,0.88,,
test/5065_8.png,3D,BPG,0.0,,
test/328_13.png,mass,NASS,0.75,,
test/2587_1.png,SALE,SAUE,0.75,,
test/5133_5.png,sick,SICK,1.0,,
test/5116_3.png,BEN,BN,0.67,,
test/977_30.png,BLANKES,BLANKES,1.0,,
test/328_20.png,Today,TODAY,1.0,,
test/5181_8.png,2010,ADIO,0.0,,
test/127_1.png,Live,T,0.0,,
test/2552_1.png,23,23,1.0,,
test/2185_1.png,Milagro,MILAGRO,1.0,,
test/178_3.png,GORU,GCRU,0.75,,
test/62_2.png,Now,NGY,0.33,,
test/197_3.png,of,OF,1.0,,
test/2553_1.png,8,8,1.0,,
test/153_1.png,Advertising,ADVERTISING,1.0,,
test/673_3.png,Love,9AAE,0.25,,
test/5051_20.png,was,WWAS,0.75,,
test/180_2.png,PARK,PARK,1.0,,
test/224_1.png,JALAN,LAA,0.4,,
test/210_1.png,Everyday,GDEDYLAY,0.5,,
test/2424_9.png,Haier,HOIER,0.8,,
test/2540_12.png,49,S,0.0,,
test/106_4.png,YES,1ES,0.67,,
test/5152_6.png,MEGAMIND,MEGAMAIND,0.89,,
test/114_10.png,Atmosphere,NENAS,0.1,,
test/5017_14.png,Ledger,LEDGER,1.0,,
test/2301_5.png,Nikki,NIKIKF,0.67,,
test/377_14.png,Myers,MYERS,1.0,,
test/686_4.png,Bloomfield,BIOOMFEELD,0.8,,
test/596_7.png,viewers,VIEWER,0.86,,
test/2497_7.png,WINSFIELD,WNSTIEL,0.67,,
test/73_4.png,THE,THE,1.0,,
test/4_4.png,MAGNETICS,MAGNETIIGS,0.8,,
test/223_2.png,Mickey,MICKEV,0.83,,
test/768_3.png,Original,ORIGANAL,0.88,,
test/2524_43.png,AN,AN,1.0,,
test/285_4.png,Chennai,CHENNAI,1.0,,
test/401_3.png,of,OOT,0.33,,
test/857_8.png,VISITORS,VISSITORS,0.89,,
test/5092_2.png,PARK,PARK,1.0,,
test/2181_2.png,25096996,25O96996,0.88,,
test/5016_6.png,SOON,S0ON,0.75,,
test/28_1.png,PROUD,RO8AB,0.2,,
test/958_6.png,Banking,BANNKING,0.88,,
test/291_10.png,THE,THE,1.0,,
test/522_6.png,you,YO0,0.67,,
test/957_7.png,Services,SEENVICES,0.78,,
test/898_2.png,ALL,AA,0.33,,
test/2366_1.png,INNISKEEL,SSS,0.11,,
test/2396_1.png,COBBLE,COBBZA,0.67,,
test/5103_6.png,SLAVERY,SLAVERY,1.0,,
test/2368_1.png,AXHOLME,AZIARIEIS,0.22,,
test/2084_6.png,Maple,MAPS,0.6,,
test/27_2.png,Bank,BANK,1.0,,
test/3_4.png,MOBILE,A282SZ2,0.0,,
test/2200_4.png,GROSVENOR,OROSVENOS,0.78,,
test/5037_2.png,STAR,STARR,0.8,,
test/1073_1.png,WROUGHT,WROUGHP,0.86,,
test/957_18.png,of,OF,1.0,,
test/599_6.png,a,A,1.0,,
test/5141_5.png,BOXING,BOKING,0.83,,
test/771_14.png,in,IIR,0.33,,
test/878_2.png,we,WE,1.0,,
test/134_5.png,Cafe,OAE,0.5,,
test/731_8.png,NEWTON,MEWT0M,0.5,,
test/2225_2.png,DAYS,DAS,0.75,,
test/529_17.png,ASUN,ALL,0.25,,
test/2512_5.png,and,AND,1.0,,
test/5064_5.png,ANONYMOUS,ANONYMOUS,1.0,,
test/1059_1.png,FREE,FREE,1.0,,
test/2255_7.png,39,39,1.0,,
test/226_3.png,OF,OR,0.5,,
test/291_4.png,YOUR,YOUR,1.0,,
test/2372_1.png,MILLER,IMILLLER,0.75,,
test/2104_1.png,15,1S,0.5,,
test/155_3.png,SALE,SAL,0.75,,
test/2545_1.png,Three,THREE,1.0,,
test/891_7.png,LOVE,LOYE,0.75,,
test/549_1.png,follow,OIIOII,0.17,,
test/546_12.png,your,YOUR,1.0,,
test/5028_1.png,saw,SAWI,0.75,,
test/2319_6.png,WELL,WEL,0.75,,
test/5138_11.png,DEPTHS,UERTHS,0.67,,
test/162_1.png,GIANT,MGANN,0.4,,
test/994_2.png,Herbert,JERDENZ,0.43,,
test/2611_1.png,The,THE,1.0,,
test/207_11.png,Banking,BANIKING,0.88,,
test/5094_3.png,nAG,NG,0.67,,
test/511_7.png,SMS,SMS,1.0,,
test/1049_8.png,wwwTopStockResearchcom,WWBSOONBESOAOOM,0.41,,
test/5062_6.png,KNIGHT,KNIOH,0.67,,
test/5173_1.png,THEY,JZIA,0.0,,
test/137_1.png,THE,THE,1.0,,
test/148_7.png,SUMMER,SUAMEA,0.67,,
test/2290_5.png,Holdings,HOLDINGSS,0.89,,
test/64_1.png,State,STATE,1.0,,
test/2254_15.png,3,3,1.0,,
test/5143_1.png,Dennis,DENNS,0.83,,
test/5088_7.png,DIAZ,DIAZ,1.0,,
test/2444_3.png,54,S4,0.5,,
test/73_10.png,EVIL,BVIL,0.75,,
test/2204_5.png,development,DEVELOPMENT,1.0,,
test/2578_7.png,city,CBI,0.25,,
test/5171_4.png,ON,ON,1.0,,
test/696_10.png,ONLY,ONLYY,0.8,,
test/5216_1.png,TERMINATOR,PERVRTATTOR,0.55,,
test/108_4.png,India,INDIA,1.0,,
test/225_1.png,Info,INFO,1.0,,
test/323_5.png,CRISIL,CRISIL,1.0,,
test/2524_31.png,STUDIO,LAUDS,0.33,,
test/2222_1.png,120,1Z20,0.75,,
test/756_11.png,the,THE,1.0,,
test/983_1.png,State,T8TE,0.6,,
test/775_1.png,webs,YEKS,0.5,,
test/997_8.png,ONLY,ONLY,1.0,,
test/944_13.png,Your,YOLIR,0.6,,
test/756_10.png,on,ON,1.0,,
test/767_3.png,Board,BOARD,1.0,,
test/712_12.png,TO,TO,1.0,,
test/2523_26.png,CHARLTON,SATO,0.38,,
test/367_1.png,smoking,SMOKING,1.0,,
test/177_1.png,STATE,STAATE,0.83,,
test/2092_2.png,JOSEPH,J0SEPH,0.83,,
test/223_3.png,Ds,DS,1.0,,
test/5079_9.png,DIRECTOR,DIREDTOR,0.88,,
test/699_9.png,Call,CALL,1.0,,
test/310_3.png,TO,TO,1.0,,
test/763_1.png,AIR,ARN,0.33,,
test/5044_9.png,AND,AND,1.0,,
test/522_1.png,State,TATE,0.8,,
test/2157_2.png,LIGHT,ZZ0RWF,0.0,,
test/791_7.png,as,AS,1.0,,
test/224_4.png,PPINANG,PPINAA,0.71,,
test/1096_2.png,the,THE,1.0,,
test/34_14.png,big,BLG,0.67,,
test/245_5.png,YERLESKESi,VERLESKEST,0.8,,
test/2541_11.png,magnolia,WGTA,0.25,,
test/5148_2.png,Karloff,KAROH,0.57,,
test/177_4.png,INDIA,INDDIA,0.83,,
test/2624_36.png,30,30,1.0,,
test/5053_5.png,United,UNITED,1.0,,
test/591_2.png,Bank,BANK,1.0,,
test/2055_15.png,at,AT,1.0,,
test/5171_3.png,ADVENTURE,ADVENTUBE,0.89,,
test/671_5.png,Overseas,OFC,0.12,,
test/225_5.png,August,AUGUST,1.0,,
test/2424_8.png,Refrigerators,RGTIOERALORRS,0.54,,
test/2244_1.png,Day,2I9,0.0,,
test/2072_1.png,HONEYBEE,SGG,0.0,,
test/328_1.png,Start,START,1.0,,
test/2150_1.png,alibaba,ALIBABA,1.0,,
test/291_12.png,ARE,ARE,1.0,,
test/5020_9.png,LEARNS,LEARNS,1.0,,
test/2370_1.png,20721,2072I,0.8,,
test/2619_2.png,LODGE,CODOS,0.4,,
test/883_7.png,shop,SHOP,1.0,,
test/135_2.png,PETERS,PETERS,1.0,,
test/2613_2.png,Seth,GE,0.25,,
test/5130_2.png,DAVIDSON,V22SCN,0.38,,
test/2200_1.png,34,34,1.0,,
test/918_1.png,Centre,ZEAH,0.17,,
test/951_3.png,Health,HEAHH,0.67,,
test/5042_29.png,PLAYING,PLAYING,1.0,,
test/5051_18.png,First,FRST,0.8,,
test/2055_7.png,Currency,COLLEERCG,0.33,,
test/5182_1.png,PULP,PUP,0.75,,
test/252_3.png,Board,BOARDD,0.83,,
test/5057_1.png,3D,3D,1.0,,
test/2416_1.png,Dingle,DINGLE,1.0,,
test/5192_1.png,WINNER,WINNER,1.0,,
test/2516_1.png,38,38,1.0,,
test/3_1.png,MAKE,MAKE,1.0,,
test/984_2.png,Electric,F8LECTRIC,0.78,,
test/2524_46.png,HOUSE,OUSO,0.6,,
test/2387_1.png,4,4,1.0,,
test/688_5.png,Traffic,TRATTIC,0.71,,
test/2291_2.png,MALT,1AL,0.5,,
test/2237_8.png,i,I,1.0,,
test/187_3.png,INSURANCE,MS0H4NCB,0.33,,
test/791_1.png,its,ITS,1.0,,
test/778_2.png,DROPPED,DROPRED,0.86,,
test/949_4.png,JACKSON,ACKSON,0.86,,
test/2092_16.png,BOY,BO0Y,0.75,,
test/5018_2.png,DESTINEE,BESTINEE,0.88,,
test/360_5.png,Google,GOOG1E,0.83,,
test/993_1.png,WINNERS,SNNE,0.43,,
test/5091_6.png,WHEN,WHEN,1.0,,
test/5054_3.png,KINGS,KEREHSS,0.29,,
test/148_4.png,camp,CRMP,0.75,,
test/5085_18.png,BY,BY,1.0,,
test/238_2.png,JALAN,UALAN,0.8,,
test/5007_12.png,AXELROD,AXELROD,1.0,,
test/5119_2.png,new,1CW,0.33,,
test/149_4.png,camp,9IMP,0.5,,
test/2405_1.png,The,1T4D,0.25,,
test/2255_1.png,172,122,0.67,,
test/1053_7.png,wwwTopStockResearchcom,WWBOANAAILASALAOM,0.32,,
test/216_7.png,Hitam,HITA,0.8,,
test/763_2.png,INDIA,MAIA,0.4,,
test/771_7.png,Clothing,COTHIN9,0.75,,
test/5069_2.png,PHOENIX,PHOENIX,1.0,,
test/629_1.png,STAPLES,S4PCGS,0.43,,
test/971_13.png,005216,OO5218,0.5,,
test/2124_3.png,HOUSE,THOUSSE,0.71,,
test/232_2.png,BANK,BANK,1.0,,
test/1041_1.png,LAND,IAND,0.75,,
test/2319_3.png,DONT,AOTTI,0.4,,
test/2205_4.png,1989,1989,1.0,,
test/977_44.png,BLANKES,BLANKES,1.0,,
test/2209_3.png,49,449,0.67,,
test/2059_1.png,OPENING,OPENING,1.0,,
test/69_1.png,FLY,FLY,1.0,,
test/321_6.png,PLEASE,PLEASE,1.0,,
test/742_1.png,LIGHT,YE74ZZ,0.0,,
test/747_1.png,40,A0,0.5,,
test/2158_1.png,3602,3602,1.0,,
test/529_22.png,PACK,PAC,0.75,,
test/5020_3.png,is,IS,1.0,,
test/2021_2.png,Villa,AIS,0.2,,
test/392_7.png,all,ALL,1.0,,
test/977_3.png,BY,BY,1.0,,
test/697_5.png,for,TOR,0.67,,
test/5054_5.png,CITY,CMTYY,0.6,,
test/2201_9.png,40,4OO,0.33,,
test/831_1.png,STATE,SAE,0.6,,
test/2624_25.png,Foundry,FOUNDRY,1.0,,
test/944_12.png,Quit,OUIT,0.75,,
test/2588_1.png,TOAD,1OA,0.5,,
test/207_6.png,you,YOWR,0.5,,
test/546_7.png,5218249,S21B249,0.71,,
test/5059_3.png,FUTURE,FUTURE,1.0,,
test/2298_5.png,VILLAS,9ZL,0.17,,
test/2497_4.png,villa,TATLA,0.4,,
test/2031_2.png,Committed,CONMKTED,0.67,,
test/2285_4.png,Food,1OOD,0.75,,
test/1036_8.png,Gamya,OMGA,0.4,,
test/2399_1.png,7,7,1.0,,
test/5137_10.png,this,THITS,0.8,,
test/2342_4.png,Visits,VSITS,0.83,,
test/2119_3.png,15,15,1.0,,
test/673_11.png,Right,RGHR,0.6,,
test/1049_2.png,Bank,BANK,1.0,,
test/114_9.png,Our,OUR,1.0,,
test/2524_19.png,PLUM,,0.0,,
test/367_3.png,stores,STOROS,0.83,,
test/777_2.png,COMES,COMES,1.0,,
test/529_18.png,UNR,ONIR,0.5,,
test/590_20.png,in,IN,1.0,,
test/138_14.png,of,OF,1.0,,
test/545_1.png,STATE,STATE,1.0,,
test/1023_20.png,AGAIN,AGAIN,1.0,,
test/529_16.png,ST,ST,1.0,,
test/311_3.png,Trac,TTAC,0.75,,
test/2524_4.png,ARBOUR,LOS8S,0.0,,
test/682_1.png,Original,ORIGINAL,1.0,,
test/2512_3.png,Glendale,GLENDDALE,0.89,,
test/209_9.png,way,WAY,1.0,,
test/2564_2.png,TDK,TDK,1.0,,
test/2502_1.png,GRANARY,ANOA,0.29,,
test/2026_1.png,WISTERIA,SSTRGG,0.38,,
test/144_1.png,I,L,0.0,,
test/2421_3.png,all,AH,0.33,,
test/5017_6.png,Cate,CATE,1.0,,
test/5053_6.png,States,STATES,1.0,,
test/328_4.png,for,FOR,1.0,,
test/2045_1.png,THE,2EE,0.33,,
test/305_1.png,VECTOR,VECIOR,0.83,,
test/2129_3.png,NOT,NOT,1.0,,
test/5165_12.png,OBSERVE,OESERYE,0.71,,
test/328_3.png,Business,BUSINESS,1.0,,
test/846_3.png,BLOND,BLOND,1.0,,
test/40_1.png,NOPARKING,NORARKNG,0.78,,
test/875_7.png,just,IUST,0.75,,
test/1099_7.png,caught,CAUGHT,1.0,,
test/127_2.png,Love,STR,0.0,,
test/2220_6.png,in,N,0.5,,
test/244_2.png,alibaba,ARIAARAA,0.5,,
test/994_4.png,ON,OAA,0.33,,
test/629_2.png,CENTER,GAINS,0.0,,
test/5041_2.png,SWAN,SWAN,1.0,,
test/2127_2.png,CARTER,CARIER,0.83,,
test/2413_1.png,FIELD,FIELD,1.0,,
test/5070_1.png,JOHNNY,JOHNNY,1.0,,
test/920_4.png,YOU,YOU,1.0,,
test/24_2.png,2008,30OS,0.25,,
test/174_1.png,VIDYANAGAR,WDYANAGAR,0.8,,
test/902_8.png,Southern,SOUTHERRN,0.89,,
test/2024_1.png,123,123,1.0,,
test/2477_2.png,Sings,5GSS,0.2,,
test/2312_1.png,33,33,1.0,,
test/1023_13.png,41KM,41KM,1.0,,
test/2126_2.png,POD,POD,1.0,,
test/522_4.png,India,INDIA,1.0,,
test/230_2.png,on,ON,1.0,,
test/114_5.png,3642039031055,SS4SNSHANG,0.08,,
test/444_2.png,CHECKING,CHECKNG,0.88,,
test/697_6.png,you,YOU,1.0,,
test/742_2.png,SPONSOR,SPONSON,0.86,,
test/587_1.png,50th,A0,0.25,,
test/1090_1.png,WELCOME,WELCOMME,0.88,,
test/2524_6.png,COTTAGE,8SJNS,0.0,,
test/5024_12.png,Marsalis,ANSALIS,0.75,,
test/832_2.png,Green,9ROEA,0.4,,
test/357_4.png,wwwshutterstockcom,WWWRTOETERRSTOOKCOOM,0.65,,
test/412_1.png,ESCAPE,ECAPE,0.83,,
test/2528_4.png,Cottage,COTTAGE,1.0,,
test/5043_1.png,MAX,MAK,0.67,,
test/2530_3.png,Grandads,GRANDLADS,0.89,,
test/2141_1.png,8146,E14O,0.5,,
test/2298_4.png,TREE,2E,0.25,,
test/922_5.png,10000,10OOO,0.4,,
test/1053_5.png,Charts,CHARTS,1.0,,
test/685_7.png,Cars,CARS,1.0,,
test/509_1.png,RESTAURANT,AESTAURZM,0.6,,
test/1095_1.png,Venus,4IE,0.0,,
test/2524_10.png,SIDE,SIDT,0.75,,
test/5003_1.png,wORLD,42Z4,0.0,,
test/634_1.png,Anson,ANSOM,0.8,,
test/2281_3.png,8,8,1.0,,
test/176_1.png,Cafe,O8,0.0,,
test/915_2.png,Billboard,ILLOOART,0.67,,
test/26_1.png,HANTECH,AAATEGH,0.57,,
test/2615_2.png,75,755,0.67,,
test/1053_6.png,by,BY,1.0,,
test/2351_1.png,Kellimar,AZ4AA,0.12,,
test/219_3.png,Your,VOUE,0.5,,
test/759_3.png,Fire,FCE,0.5,,
test/2492_3.png,SHED,SHHD,0.75,,
test/957_1.png,Home,HOME,1.0,,
test/170_1.png,State,STATE,1.0,,
test/2319_2.png,DRUGS,MRLES,0.4,,
test/333_2.png,1972,1972,1.0,,
test/5012_5.png,SIN,SSIN,0.75,,
test/898_5.png,SIGNS,OTBS,0.2,,
test/2536_2.png,Alexandra,AARANDIA,0.56,,
test/1024_1.png,State,TIATE,0.6,,
test/34_15.png,fat,FAT,1.0,,
test/2503_2.png,EIGHT,EIGHT,1.0,,
test/699_3.png,FLAMMABLE,FLANMABLE,0.89,,
test/5146_4.png,RIGHT,RI0KT,0.6,,
test/639_3.png,TV,TV,1.0,,
test/2078_1.png,The,THHE,0.75,,
test/135_3.png,ARE,ARE,1.0,,
test/915_10.png,IS,IS,1.0,,
test/184_2.png,CUSTOMER,CUSTOMER,1.0,,
test/1099_14.png,tell,TELL,1.0,,
test/2119_4.png,Imaizumi,AIAUMM,0.5,,
test/2055_31.png,free,FREE,1.0,,
test/5099_1.png,SAW,SALL,0.5,,
test/2524_24.png,PRTIT,1TIT,0.6,,
test/5051_26.png,NOW,M,0.0,,
test/2090_1.png,Oscar,O9CAR,0.8,,
test/5079_11.png,300,IDO,0.0,,
test/666_1.png,were,NEG,0.25,,
test/5036_3.png,space,SPACO,0.8,,
test/791_16.png,PET,FET,0.67,,
test/2165_2.png,nbnovelty,NBNOVELLYY,0.8,,
test/2051_2.png,GUPTA,GUPTA,1.0,,
test/528_3.png,of,EF,0.5,,
test/2497_5.png,HILL,HILL,1.0,,
test/2171_6.png,Shipping,NIHIPIIG,0.5,,
test/753_4.png,Nseries,RSENIES,0.71,,
test/2419_3.png,A,A,1.0,,
test/2523_30.png,HARVEST,3ABYESA,0.43,,
test/2124_1.png,WELCOME,NELCOCS,0.57,,
test/179_3.png,LA,LA,1.0,,
test/348_2.png,wwwshutterstockcom,WWWSHUSTNTSTOTCOMM,0.67,,
test/325_21.png,know,KNOW,1.0,,
test/850_20.png,Password,PASSWORD,1.0,,
test/358_1.png,STATE,STATE,1.0,,
test/67_3.png,TELEVISED,TELEVISED,1.0,,
test/1045_2.png,Bank,BANK,1.0,,
test/5082_2.png,MAN,MTK,0.33,,
test/5044_6.png,MALKOVICH,MRLKOVILH,0.78,,
test/5000_1.png,FOR,FOR,1.0,,
test/209_8.png,the,HO,0.33,,
test/5145_1.png,VEER,WEER,0.75,,
test/1050_1.png,State,STATE,1.0,,
test/209_5.png,With,WTH,0.75,,
test/1024_2.png,Bank,BANA,0.75,,
test/5043_2.png,PAYNE,PAYHE,0.8,,
test/1026_1.png,SBI,SBI,1.0,,
test/2055_8.png,of,O8,0.5,,
test/281_4.png,Monday,MONDAY,1.0,,
test/439_7.png,Km,KM,1.0,,
test/591_3.png,of,OF,1.0,,
test/28_3.png,BE,BE,1.0,,
test/2115_5.png,unavailable,UNAVVALLABLE,0.83,,
test/5096_8.png,Pettyfer,RERYTER,0.5,,
test/326_3.png,of,OF,1.0,,
test/187_5.png,Us,US,1.0,,
test/134_1.png,KAFE,KAFE,1.0,,
test/5024_11.png,Wynton,WGNTON,0.83,,
test/340_5.png,wwwshutterstockcom,WWWSHUTTTENRSTOXKCMM,0.8,,
test/5165_4.png,WORLD,WORLD,1.0,,
test/5195_1.png,MANHATTAN,MLNIILL,0.22,,
test/857_34.png,P,P,1.0,,
test/377_13.png,Ft,FB,0.5,,
test/909_3.png,New,NEW,1.0,,
test/2626_4.png,THE,THE,1.0,,
test/440_6.png,LTD,LTD,1.0,,
test/1099_6.png,be,BE,1.0,,
test/681_1.png,State,STATE,1.0,,
test/171_2.png,AD,KB,0.0,,
test/882_3.png,24,24,1.0,,
test/2597_7.png,STAIRS,STAIRS,1.0,,
test/2543_2.png,Villa,VLLLA,0.8,,
test/2624_32.png,7,7,1.0,,
test/291_5.png,CIGARETTE,CIGARETTE,1.0,,
test/5184_7.png,GHOSTBUSTERS,GRSSTSUSIERS,0.67,,
test/225_4.png,3rd,3RD,1.0,,
test/5153_1.png,DENZEL,ZENZEL,0.83,,
test/2342_3.png,WellChild,WELLCHIID,0.89,,
test/137_4.png,ENDORSES,NOONSNS,0.5,,
test/2295_2.png,NAMR,NAME,0.75,,
test/928_2.png,ZIEHEN,27EHEN,0.67,,
test/5107_3.png,IS,IS,1.0,,
test/881_2.png,SALE,SL,0.5,,
test/2512_13.png,to,TO,1.0,,
test/2329_2.png,it,IT,1.0,,
test/732_6.png,SAUCES,SAUCES,1.0,,
test/290_1.png,H,O,0.0,,
test/673_16.png,on,ON,1.0,,
test/129_4.png,Madness,MADNESS,1.0,,
test/195_1.png,BATAC,BAAE,0.6,,
test/2005_2.png,STURGEON,SZ1ZGGGO11,0.3,,
test/2262_2.png,CLONES,CLCNES,0.83,,
test/997_4.png,Income,INCOME,1.0,,
test/101_2.png,CHANNEL,CHANNEL,1.0,,
test/311_1.png,RedView,REAU1EL,0.43,,
test/222_1.png,GIVENCHY,EIVENCHY,0.88,,
test/928_3.png,DEN,DEM,0.67,,
test/970_6.png,YOUR,YOUNE,0.6,,
test/1021_2.png,Loan,LOAN,1.0,,
test/2201_8.png,167,167,1.0,,
test/137_8.png,MARCH,MARCHH,0.83,,
test/1104_2.png,Attention,ATTENTION,1.0,,
test/170_2.png,Bank,BANK,1.0,,
test/2338_3.png,SPACE,SPACE,1.0,,
test/1026_3.png,Platinum,CZNAITNTTN,0.2,,
test/360_2.png,2,S2,0.5,,
